# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
28073,10885,0,0,0,0,0,1
28078,10888,0,0,0,0,0,1
28080,10889,0,0,0,0,0,1
28079,10887,0,0,0,0,0,1
28079,10885,0,0,0,0,0,1
28080,10882,0,0,0,0,0,1
28083,10883,0,0,0,0,0,1
28083,10886,0,0,0,0,0,1
28084,10885,0,0,0,0,0,1
28087,10882,0,0,0,0,0,1
28088,10883,0,0,0,0,0,1
28088,10881,0,0,0,0,0,1
28089,10884,0,0,0,0,0,1
28088,10884,0,0,0,0,0,1
28087,10882,0,0,0,0,0,1
28087,10885,0,0,0,0,0,1
28091,10887,0,0,0,0,0,1
28090,10888,0,0,0,0,0,1
28089,10885,0,0,0,0,0,1
28092,10888,0,0,0,0,0,1
28092,10887,0,0,0,0,0,1
28093,10885,0,0,0,0,0,1
28091,10884,0,0,0,0,0,1
28092,10885,0,0,0,0,0,1
